epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,771.059,1.24891,1.10516,1.35084,0.65157,0.62609,0.67483,0.42426,1.34309,1.1755,1.39882,0.0016535,0.0016535,0.0016535
44,788.873,1.26008,1.10815,1.35274,0.63389,0.61366,0.65391,0.40896,1.35987,1.2378,1.4184,0.00164525,0.00164525,0.00164525
45,806.692,1.24938,1.09333,1.34953,0.66629,0.63106,0.6715,0.41556,1.35205,1.20874,1.41892,0.001637,0.001637,0.001637
46,824.528,1.25155,1.10777,1.35384,0.66766,0.60248,0.68005,0.42104,1.36177,1.1874,1.40599,0.00162875,0.00162875,0.00162875
47,842.382,1.23725,1.09155,1.33312,0.62852,0.61491,0.6729,0.41817,1.34671,1.16743,1.40321,0.0016205,0.0016205,0.0016205
48,860.244,1.24295,1.07047,1.33641,0.66366,0.6087,0.6505,0.40014,1.38,1.23787,1.40632,0.00161225,0.00161225,0.00161225
49,878.112,1.24964,1.0836,1.33336,0.61269,0.61313,0.63491,0.39209,1.3705,1.29994,1.41415,0.001604,0.001604,0.001604
50,895.961,1.23948,1.07202,1.33554,0.65032,0.64472,0.69008,0.4272,1.35583,1.15711,1.4025,0.00159575,0.00159575,0.00159575
51,913.849,1.23191,1.06535,1.34267,0.64515,0.63975,0.68324,0.41888,1.36514,1.16038,1.43168,0.0015875,0.0015875,0.0015875
52,931.667,1.23049,1.06806,1.33373,0.61471,0.64596,0.6708,0.41734,1.359,1.1867,1.40927,0.00157925,0.00157925,0.00157925
53,949.413,1.23726,1.0758,1.33166,0.67138,0.63106,0.68588,0.4275,1.33813,1.15224,1.40876,0.001571,0.001571,0.001571
54,967.251,1.22943,1.05826,1.33709,0.63991,0.6323,0.67216,0.42894,1.34539,1.15461,1.40117,0.00156275,0.00156275,0.00156275
55,984.925,1.23177,1.08831,1.34398,0.68301,0.63354,0.69758,0.4324,1.36891,1.14826,1.40382,0.0015545,0.0015545,0.0015545
56,1002.6,1.22992,1.04848,1.33159,0.62224,0.6646,0.69128,0.43198,1.37623,1.16634,1.40602,0.00154625,0.00154625,0.00154625
57,1020.39,1.22344,1.06237,1.33102,0.68252,0.63851,0.69133,0.43253,1.35669,1.14845,1.41517,0.001538,0.001538,0.001538
58,1038.11,1.23189,1.04531,1.32656,0.60138,0.68323,0.69453,0.43854,1.36592,1.13546,1.42467,0.00152975,0.00152975,0.00152975
59,1055.87,1.2261,1.02956,1.3253,0.63115,0.64845,0.69418,0.42904,1.39528,1.15058,1.42957,0.0015215,0.0015215,0.0015215
60,1073.7,1.2119,1.03949,1.3214,0.62849,0.64596,0.68058,0.42499,1.37962,1.14683,1.401,0.00151325,0.00151325,0.00151325
61,1091.41,1.21651,1.04719,1.31862,0.70359,0.59503,0.68884,0.43597,1.37067,1.14996,1.41332,0.001505,0.001505,0.001505
62,1109.21,1.2263,1.03372,1.32671,0.65172,0.64856,0.69086,0.43241,1.3602,1.12999,1.39417,0.00149675,0.00149675,0.00149675
63,1127.03,1.21265,1.05119,1.31691,0.67271,0.64599,0.69944,0.44305,1.354,1.13099,1.42253,0.0014885,0.0014885,0.0014885
64,1144.77,1.20345,1.0168,1.30939,0.64889,0.65466,0.69264,0.43771,1.3703,1.13827,1.41533,0.00148025,0.00148025,0.00148025
