model,map50_95,map50,map75,precision,recall
YOLOv11n,0.6952830944554074,0.879960640120059,0.7910172809591869,0.8466358209057099,0.8025302592596187
YOLOv11s,0.7105124654865789,0.8915612850860116,0.8002213133303613,0.8483866129062213,0.8381272337170322
YOLOv11m,0.7071422737181344,0.8975577561799208,0.8110404277565537,0.8640236837165773,0.8397659499780725
